FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Jaruya Haridas,28,Male,HR Coordinator (Entry-level),HR,1001-5000,Flexible/ Variable,21,1,With Children,Dedicated Room,37,1,7,5,4,5,7,149,1-4 hours,"MS teams,asana,notion,email,jira",1,1,3,4,4,2,3,4,1,7,1,Yes,No,1,,,,,,,,,,,2.0,4.0,3.0,,"HR Coordinator (Entry-level) MS teams,asana,notion,email,jira",1,1,1,0,2
Arat Seethamraju,46,Male,Storage Administrator,Operations,Nov-50,Office- First,32,5,Live Alone,Dedicated Room,51,3,4,7,3,5,12,134,4-24 hours,"zoom,asana,notion",3,3,4,1,4,5,3,1,3,7,4,Yes,Yes,3,,,,,,,,,,,2.8,3.5,3.0,,"Storage Administrator zoom,asana,notion",1,2,5,3,0
Maem Thakur,25,Male,Robotics Engineer,Software Development,Nov-50,Flexible/ Variable,144,5,With Children,Dedicated Room,33,5,3,4,3,2,12,117,4-24 hours,"MS teams,asana",2,1,4,4,4,5,3,1,2,8,5,No,Yes,2,,,,,,,,,,,2.6,4.0,3.0,,"Robotics Engineer MS teams,asana",1,5,5,0,2
Kaoth Kakarlapudi,48,Female,NLP Engineer,Software Development,Nov-50,Office- First,117,3,Live Alone,Desk In Shared Room,36,1,5,4,4,1,11,61,>24 hours,"asana,slack,zoom",1,5,1,2,1,2,1,1,5,6,2,Yes,Don't Know,1,,,,,,,,,,,2.8,3.0,1.3333333333333333,,"NLP Engineer asana,slack,zoom",0,5,5,3,0
Taan Chandel,43,Male,HR Coordinator (Entry-level),HR,Nov-50,Flexible/ Variable,33,2,Shared Accommodation,Dedicated Room,34,2,6,9,1,5,5,64,1-4 hours,"MS teams,slack,notion,google meet,email",1,2,3,3,5,5,2,5,1,6,2,Yes,Don't Know,3,,,,,,,,,,,2.0,4.0,4.0,,"HR Coordinator (Entry-level) MS teams,slack,notion,google meet,email",1,1,5,0,1
Maet Pereira,23,Male,DevOps Engineer,Operations,51-200,Flexible/ Variable,119,4,With Partner,Shared Space(Kitchen/Living Room),52,5,2,9,2,1,2,79,1-4 hours,"email,slack",1,2,4,5,3,2,4,4,5,9,3,Yes,Don't Know,5,,,,,,,,,,,3.4,3.5,3.3333333333333335,,"DevOps Engineer email,slack",1,2,4,0,3
Kakat Rathore,37,Female,AI Engineer,Software Development,51-200,Flexible/ Variable,102,3,With Children,Desk In Shared Room,23,2,5,5,3,1,2,112,<15 minutes,"jira,zoom,MS teams,asana,google meet",1,3,2,5,3,5,3,4,1,8,3,Yes,No,2,,,,,,,,,,,2.4,3.5,4.0,,"AI Engineer jira,zoom,MS teams,asana,google meet",0,5,4,0,2
Prer Bhalotia,28,Male,Data Scientist,Software Development,201-1000,Fully Remote,89,3,With Children,Shared Space(Kitchen/Living Room),28,1,1,8,1,3,2,84,4-24 hours,"jira,slack,google meet,asana,zoom",3,2,3,1,1,4,2,2,1,6,5,No,No,4,,,,,,,,,,,2.0,1.0,2.6666666666666665,,"Data Scientist jira,slack,google meet,asana,zoom",1,5,2,1,2
Sataya Mohanty,41,Female,Product Owner,Product,Nov-50,Office- First,9,1,With Partner,Dedicated Room,46,1,4,4,5,5,8,83,>24 hours,"email,slack,MS teams,jira,asana",2,4,2,5,1,3,4,1,3,9,2,Yes,No,5,,,,,,,,,,,3.2,2.5,2.6666666666666665,,"Product Owner email,slack,MS teams,jira,asana",0,3,5,3,3
Riesh Rana,46,Male,Technical Product Manager,Product,Nov-50,Fully Remote,98,2,Live Alone,Co-Working Space,24,5,3,8,5,1,7,62,1-4 hours,"jira,zoom,email,asana,MS teams",2,2,3,5,1,4,5,3,2,8,1,Yes,No,3,,,,,,,,,,,2.8,4.0,4.0,,"Technical Product Manager jira,zoom,email,asana,MS teams",1,3,5,1,0
Gaiya Gurjar,27,Male,Blockchain Developer,Software Development,Nov-50,Fully Remote,54,1,Shared Accommodation,Desk In Shared Room,42,3,6,8,3,4,8,134,15-60 minutes,"MS teams,email",1,2,5,1,1,5,4,5,5,8,3,Yes,No,5,,,,,,,,,,,2.8,4.5,4.666666666666667,,"Blockchain Developer MS teams,email",1,5,5,1,1
Shav Solanki,25,Male,CTO (Chief Technology Officer),Software Development,01-Oct,Flexible/ Variable,134,3,With Partner,Shared Space(Kitchen/Living Room),45,3,1,9,3,1,12,69,>24 hours,"MS teams,asana",5,3,5,4,4,3,5,2,1,9,1,Not Sure,Don't Know,4,,,,,,,,,,,3.6,2.0,3.3333333333333335,,"CTO (Chief Technology Officer) MS teams,asana",1,5,0,0,3
Tanian Tulsian,49,Male,UI/UX Designer,Design,01-Oct,Hybrid,66,1,Live Alone,Dedicated Room,30,1,6,10,1,5,5,62,>24 hours,"jira,notion,zoom,slack",4,4,3,5,2,2,5,4,2,7,1,No,No,5,,,,,,,,,,,3.6,3.5,3.6666666666666665,,"UI/UX Designer jira,notion,zoom,slack",1,0,0,2,0
Kaev Varghese,33,Male,Cloud Engineer,Operations,01-Oct,Hybrid,161,4,Live Alone,Desk In Shared Room,22,5,4,5,1,1,12,121,<15 minutes,"email,jira,slack,MS teams,notion",4,1,3,3,4,1,4,3,4,8,3,Yes,Yes,3,,,,,,,,,,,3.0,4.5,2.6666666666666665,,"Cloud Engineer email,jira,slack,MS teams,notion",1,2,0,2,0
Raen Malhotra,26,Male,CIO (Chief Information Officer),Software Development,201-1000,Flexible/ Variable,61,3,Shared Accommodation,Dedicated Room,40,3,5,8,3,2,1,81,>24 hours,"MS teams,zoom,email,jira,google meet",4,4,4,4,3,3,1,4,5,6,1,Yes,No,2,,,,,,,,,,,4.2,4.0,2.6666666666666665,,"CIO (Chief Information Officer) MS teams,zoom,email,jira,google meet",1,5,2,0,1
Nimish Sen,27,Male,Technical Account Manager,Sales,1001-5000,Hybrid,105,5,Live Alone,Desk In Shared Room,36,1,3,10,4,2,11,106,15-60 minutes,"MS teams,jira,notion,slack,email",2,2,2,3,1,1,2,5,3,8,1,Not Sure,No,5,,,,,,,,,,,2.4,2.0,2.6666666666666665,,"Technical Account Manager MS teams,jira,notion,slack,email",1,4,1,2,0
Gaoya Yadav,39,Male,UI/UX Researcher,Design,Nov-50,Office- First,58,2,With Children,Co-Working Space,27,3,3,10,1,1,9,102,4-24 hours,"slack,asana,email",3,5,5,1,5,5,5,4,3,6,2,No,Don't Know,2,,,,,,,,,,,3.4,3.0,4.666666666666667,,"UI/UX Researcher slack,asana,email",1,0,5,3,2
Vinih Sarda,32,Female,Web Developer,Software Development,5001+,Hybrid,64,3,With Children,Desk In Shared Room,36,4,1,10,4,4,7,70,1-4 hours,"zoom,notion",3,1,4,3,5,4,4,1,1,6,1,No,Don't Know,3,,,,,,,,,,,2.4,2.5,3.0,,"Web Developer zoom,notion",0,5,3,2,2
Sneha Bhatta,29,Female,QA Engineer / Test Engineer,Software Development,01-Oct,Flexible/ Variable,164,1,With Partner,Dedicated Room,31,2,5,10,3,5,7,84,15-60 minutes,"email,google meet,jira",1,5,4,1,1,3,4,5,5,6,4,Not Sure,No,4,,,,,,,,,,,3.2,3.5,4.0,,"QA Engineer / Test Engineer email,google meet,jira",0,5,0,0,3
Riash Kumar,36,Male,Deep Learning Engineer,Software Development,201-1000,Flexible/ Variable,86,1,Live Alone,Desk In Shared Room,28,2,2,4,3,5,3,142,>24 hours,"jira,MS teams,asana,email",3,1,4,5,1,5,3,2,2,8,3,No,No,3,,,,,,,,,,,3.0,2.0,3.3333333333333335,,"Deep Learning Engineer jira,MS teams,asana,email",1,5,2,0,0
Demiv Rajput,24,Male,Cloud Administrator,Operations,01-Oct,Hybrid,125,5,With Partner,Shared Space(Kitchen/Living Room),25,1,1,9,3,5,10,143,>24 hours,"MS teams,google meet,jira",2,2,5,2,1,1,4,1,5,8,1,No,No,1,,,,,,,,,,,3.2,1.0,2.0,,"Cloud Administrator MS teams,google meet,jira",1,2,0,2,3
Deyash Tomar,23,Male,NLP Engineer,Software Development,Nov-50,Flexible/ Variable,110,4,With Children,Desk In Shared Room,37,2,7,4,1,3,12,70,1-4 hours,"notion,google meet",2,5,2,3,3,2,3,5,4,7,1,Yes,Yes,5,,,,,,,,,,,3.2,4.5,3.3333333333333335,,"NLP Engineer notion,google meet",1,5,5,0,2
Saet Soman,28,Male,System Administrator,Operations,5001+,Hybrid,78,2,Shared Accommodation,Dedicated Room,19,3,4,9,3,4,3,68,<15 minutes,"MS teams,zoom,asana,email,jira",1,4,4,1,5,3,2,3,3,8,1,No,No,1,,,,,,,,,,,2.6,3.5,2.6666666666666665,,"System Administrator MS teams,zoom,asana,email,jira",1,2,3,2,1
Vir Dabhi,31,Female,Data Governance Specialist,Software Development,201-1000,Fully Remote,99,2,Live Alone,Shared Space(Kitchen/Living Room),42,5,2,6,4,2,11,92,15-60 minutes,"email,slack,jira",3,4,3,1,2,2,3,3,4,7,2,Yes,No,4,,,,,,,,,,,3.0,3.5,2.6666666666666665,,"Data Governance Specialist email,slack,jira",0,5,2,1,0
Rashash Nayak,47,Male,Security Architect,Software Development,201-1000,Office- First,128,3,Live Alone,Shared Space(Kitchen/Living Room),23,4,3,7,3,1,4,134,1-4 hours,"zoom,MS teams,asana,slack,jira",5,1,1,1,4,4,2,1,5,7,3,No,Don't Know,4,,,,,,,,,,,2.6,3.5,2.3333333333333335,,"Security Architect zoom,MS teams,asana,slack,jira",1,5,2,3,0
Navya Banerjee,41,Female,Threat Intelligence Analyst,HR,01-Oct,Flexible/ Variable,28,1,Live Alone,Dedicated Room,20,4,5,10,5,2,12,139,15-60 minutes,"slack,jira",2,1,5,5,4,2,3,5,5,6,1,Yes,Don't Know,2,,,,,,,,,,,3.6,4.5,3.3333333333333335,,"Threat Intelligence Analyst slack,jira",0,1,0,0,0
Viaya Bhargav,23,Male,Solutions Consultant,Software Development,1001-5000,Fully Remote,16,3,Shared Accommodation,Co-Working Space,44,1,4,9,4,3,10,66,<15 minutes,"notion,email,zoom,slack,google meet",3,4,1,4,1,5,4,5,1,6,2,Not Sure,Yes,4,,,,,,,,,,,2.6,2.5,4.666666666666667,,"Solutions Consultant notion,email,zoom,slack,google meet",1,5,1,1,1
Sunim Bisen,40,Female,Talent Acquisition Manager,HR,201-1000,Hybrid,27,2,With Children,Dedicated Room,21,2,2,9,1,2,9,142,4-24 hours,"asana,zoom,email",5,1,5,2,4,1,5,4,1,8,2,No,Yes,5,,,,,,,,,,,2.8,2.0,3.3333333333333335,,"Talent Acquisition Manager asana,zoom,email",0,1,2,2,2
Surum Sarmah,48,Male,Engineering Manager,Software Development,201-1000,Flexible/ Variable,93,3,Shared Accommodation,Shared Space(Kitchen/Living Room),43,1,4,8,3,3,3,84,>24 hours,"notion,jira,asana",1,3,3,3,5,4,2,3,2,8,2,No,No,3,,,,,,,,,,,2.4,2.5,3.0,,"Engineering Manager notion,jira,asana",1,5,2,0,1
Viel Deshmukh,42,Male,CIO (Chief Information Officer),Software Development,201-1000,Flexible/ Variable,44,1,Live Alone,Dedicated Room,52,5,5,4,2,3,7,134,<15 minutes,"jira,MS teams,email,zoom",4,2,3,1,5,2,4,4,4,8,2,Yes,Yes,3,,,,,,,,,,,2.8,5.0,3.3333333333333335,,"CIO (Chief Information Officer) jira,MS teams,email,zoom",1,5,2,0,0
Dhnash Bansal,34,Female,UI/UX Researcher,Design,5001+,Office- First,150,1,With Partner,Co-Working Space,32,5,1,5,3,1,8,110,>24 hours,"google meet,jira,email,slack",5,3,3,2,3,5,1,2,4,8,2,No,Yes,4,,,,,,,,,,,3.4,3.0,2.6666666666666665,,"UI/UX Researcher google meet,jira,email,slack",0,0,3,3,3
Shkak Advani,30,Female,Product Owner,Product,01-Oct,Hybrid,69,2,Live Alone,Shared Space(Kitchen/Living Room),22,3,1,4,2,5,12,125,15-60 minutes,"asana,MS teams,zoom,email",3,3,3,2,4,3,4,5,2,8,3,Yes,No,1,,,,,,,,,,,2.6,2.0,4.0,,"Product Owner asana,MS teams,zoom,email",0,3,0,2,0
Rashath Varma,31,Female,Chief Human Resources Officer (CHRO),HR,Nov-50,Flexible/ Variable,68,5,Shared Accommodation,Desk In Shared Room,38,1,1,10,4,5,4,140,>24 hours,"MS teams,email",5,5,3,3,5,2,4,4,1,6,4,Yes,Don't Know,1,,,,,,,,,,,3.4,1.0,3.3333333333333335,,"Chief Human Resources Officer (CHRO) MS teams,email",0,1,5,0,1
Laut Yadav,43,Male,Full-Stack Developer,Software Development,201-1000,Flexible/ Variable,110,4,With Partner,Desk In Shared Room,20,1,6,5,3,1,3,70,<15 minutes,"asana,zoom,slack,notion",1,1,4,1,2,1,1,4,3,6,5,Yes,No,2,,,,,,,,,,,2.0,3.5,2.0,,"Full-Stack Developer asana,zoom,slack,notion",1,5,2,0,3
Areaj Mishra,37,Female,Automation Engineer,Software Development,Nov-50,Office- First,81,5,Shared Accommodation,Shared Space(Kitchen/Living Room),40,3,6,6,1,5,10,124,>24 hours,"zoom,asana",1,5,5,5,1,1,1,3,3,6,4,Yes,Yes,1,,,,,,,,,,,3.8,4.5,1.6666666666666667,,"Automation Engineer zoom,asana",0,5,5,3,1
Rivik Quadros,46,Male,Technical Account Manager,Sales,201-1000,Hybrid,111,2,Live Alone,Dedicated Room,52,2,6,8,3,2,9,100,4-24 hours,"email,zoom,jira,notion,slack",3,2,2,2,4,4,5,1,2,8,1,Not Sure,No,5,,,,,,,,,,,2.2,4.0,3.3333333333333335,,"Technical Account Manager email,zoom,jira,notion,slack",1,4,2,2,0
Desiesh Barad,30,Male,Customer Success Manager,Sales,01-Oct,Flexible/ Variable,5,5,With Partner,Co-Working Space,36,1,2,8,5,5,4,139,4-24 hours,"zoom,email,slack,asana",1,1,1,2,3,2,4,1,2,7,5,Not Sure,Yes,2,,,,,,,,,,,1.4,1.5,2.3333333333333335,,"Customer Success Manager zoom,email,slack,asana",1,4,0,0,3
Takaljit Pillai,30,Male,VP of Human Resources,HR,Nov-50,Office- First,26,1,With Children,Shared Space(Kitchen/Living Room),22,3,2,6,5,4,3,74,>24 hours,"asana,MS teams,notion,google meet",2,2,2,5,3,1,5,3,1,6,3,No,Yes,4,,,,,,,,,,,2.4,2.5,3.0,,"VP of Human Resources asana,MS teams,notion,google meet",1,1,5,3,2
Kaaya Saikia,36,Male,Robotics Engineer,Software Development,51-200,Hybrid,140,1,Shared Accommodation,Desk In Shared Room,50,5,3,7,2,4,12,96,15-60 minutes,"asana,notion,MS teams",5,2,3,3,5,2,5,1,5,8,1,Not Sure,No,1,,,,,,,,,,,3.6,4.0,2.6666666666666665,,"Robotics Engineer asana,notion,MS teams",1,5,4,2,1
Hamiv Singh,33,Male,VP of Human Resources,HR,51-200,Fully Remote,147,3,With Partner,Desk In Shared Room,49,5,6,9,3,1,11,97,>24 hours,"slack,notion",4,2,3,5,3,2,1,3,5,9,5,Yes,Yes,1,,,,,,,,,,,3.8,5.5,2.0,,"VP of Human Resources slack,notion",1,1,4,1,3
Tarah Pasi,34,Male,Cloud FinOps Analyst,Operations,01-Oct,Office- First,62,4,With Children,Co-Working Space,41,1,1,10,5,3,6,87,15-60 minutes,"jira,MS teams,zoom",2,2,1,1,1,1,5,5,4,9,4,Not Sure,No,5,,,,,,,,,,,2.0,1.0,3.6666666666666665,,"Cloud FinOps Analyst jira,MS teams,zoom",1,2,0,3,2
Arrath Srivastava,47,Male,Recruitment Operations Analyst,HR,1001-5000,Office- First,75,2,With Children,Desk In Shared Room,40,1,7,9,4,2,11,85,<15 minutes,"google meet,MS teams",1,3,5,1,2,1,3,2,1,8,3,Yes,No,1,,,,,,,,,,,2.2,4.0,2.0,,"Recruitment Operations Analyst google meet,MS teams",1,1,1,3,2
Ariya Seth,24,Female,Business Analyst,Software Development,1001-5000,Hybrid,72,3,Live Alone,Desk In Shared Room,21,5,4,4,4,5,10,101,<15 minutes,"notion,google meet,email,jira,MS teams",5,5,4,2,3,2,2,4,4,8,1,No,Don't Know,2,,,,,,,,,,,4.0,4.5,2.6666666666666665,,"Business Analyst notion,google meet,email,jira,MS teams",0,5,1,2,0
Dhnav Pasi,37,Female,Automation Engineer,Software Development,01-Oct,Fully Remote,160,2,Live Alone,Desk In Shared Room,31,2,4,7,1,1,12,148,1-4 hours,"email,zoom,google meet,slack",3,2,4,5,5,5,1,3,5,9,5,Yes,Yes,1,,,,,,,,,,,3.8,3.0,3.0,,"Automation Engineer email,zoom,google meet,slack",0,5,0,1,0
Rihana Parekh,31,Female,Penetration Tester / Ethical Hacker,Software Development,Nov-50,Hybrid,79,1,With Children,Desk In Shared Room,34,4,4,9,3,3,11,142,<15 minutes,"email,notion,google meet",2,1,5,4,4,4,2,4,4,6,2,Not Sure,Don't Know,2,,,,,,,,,,,3.2,4.0,3.3333333333333335,,"Penetration Tester / Ethical Hacker email,notion,google meet",0,5,5,2,2
Laal Varma / Varman,35,Female,Security Architect,Software Development,51-200,Flexible/ Variable,132,4,Shared Accommodation,Desk In Shared Room,19,3,6,7,1,5,8,120,1-4 hours,"MS teams,notion,asana",1,5,3,4,2,4,1,2,5,7,3,Yes,Yes,4,,,,,,,,,,,3.6,4.5,2.3333333333333335,,"Security Architect MS teams,notion,asana",0,5,4,0,1
Rayaan Mittal,40,Male,Cloud Engineer,Operations,5001+,Hybrid,32,5,Shared Accommodation,Shared Space(Kitchen/Living Room),34,1,5,6,1,3,5,63,<15 minutes,"google meet,notion,MS teams",3,1,5,2,5,2,5,2,2,9,1,Not Sure,Yes,4,,,,,,,,,,,2.6,3.0,3.0,,"Cloud Engineer google meet,notion,MS teams",1,2,3,2,1
Prok Kachwaha,44,Female,Chatbot Developer,Software Development,1001-5000,Flexible/ Variable,18,2,Live Alone,Co-Working Space,26,4,3,4,2,5,8,65,1-4 hours,"zoom,google meet,asana,slack,jira",1,4,1,5,5,2,5,4,5,7,5,Not Sure,Yes,5,,,,,,,,,,,3.2,3.5,3.6666666666666665,,"Chatbot Developer zoom,google meet,asana,slack,jira",0,5,1,0,0
Mayak Hada,41,Male,Cloud FinOps Analyst,Operations,Nov-50,Hybrid,36,2,Shared Accommodation,Shared Space(Kitchen/Living Room),28,5,1,8,1,1,3,108,4-24 hours,"jira,zoom,asana,email,MS teams",4,4,5,2,2,4,2,5,1,6,4,Not Sure,Don't Know,1,,,,,,,,,,,3.2,3.0,3.6666666666666665,,"Cloud FinOps Analyst jira,zoom,asana,email,MS teams",1,2,5,2,1
Rishaan Sisodia,37,Female,AI Ethics Specialist,Software Development,201-1000,Flexible/ Variable,54,5,Live Alone,Dedicated Room,32,3,6,7,3,5,9,89,<15 minutes,"notion,slack,MS teams",5,3,3,5,2,5,1,2,4,9,1,No,Don't Know,5,,,,,,,,,,,4.0,4.5,2.6666666666666665,,"AI Ethics Specialist notion,slack,MS teams",0,5,2,0,0
Avih Pathak,35,Female,Security Engineer,Software Development,51-200,Office- First,46,1,Shared Accommodation,Shared Space(Kitchen/Living Room),44,2,3,6,2,5,6,127,<15 minutes,"zoom,MS teams,google meet",1,2,1,5,2,3,5,1,3,9,3,Not Sure,Don't Know,2,,,,,,,,,,,2.4,2.5,3.0,,"Security Engineer zoom,MS teams,google meet",0,5,4,3,1
Javish Sharma,34,Male,IT Technician,Software Development,1001-5000,Office- First,91,5,With Partner,Dedicated Room,20,4,1,5,5,3,4,144,>24 hours,"asana,google meet,email",2,5,3,5,5,2,2,4,1,8,1,Not Sure,No,1,,,,,,,,,,,3.2,2.5,2.6666666666666665,,"IT Technician asana,google meet,email",1,5,1,3,3
Shnaaj Soni,38,Male,Systems Engineer,Operations,51-200,Hybrid,101,4,Live Alone,Co-Working Space,19,1,2,5,1,1,11,86,4-24 hours,"slack,zoom,jira",5,3,3,2,1,5,2,3,3,8,3,No,Yes,1,,,,,,,,,,,3.2,1.5,3.3333333333333335,,"Systems Engineer slack,zoom,jira",1,2,4,2,0
Hakat Trivedi,45,Male,Threat Intelligence Analyst,HR,01-Oct,Flexible/ Variable,91,4,Shared Accommodation,Co-Working Space,26,2,1,8,2,3,12,68,>24 hours,"google meet,slack",1,5,2,2,4,1,2,2,5,9,3,Not Sure,Yes,4,,,,,,,,,,,3.0,1.5,1.6666666666666667,,"Threat Intelligence Analyst google meet,slack",1,1,0,0,1
Vinil Salunkhe,27,Male,Web Developer,Software Development,5001+,Hybrid,120,5,With Partner,Co-Working Space,47,1,7,9,3,3,1,65,15-60 minutes,"zoom,MS teams,google meet,email",2,1,5,1,5,4,4,1,2,6,2,Yes,Yes,5,,,,,,,,,,,2.2,4.0,3.0,,"Web Developer zoom,MS teams,google meet,email",1,5,3,2,3
Pruh Chamar,29,Female,Pre-Sales Engineer,Sales,01-Oct,Flexible/ Variable,115,4,With Partner,Co-Working Space,50,5,6,8,1,5,4,74,15-60 minutes,"slack,email,notion,MS teams,jira",5,2,5,2,2,5,4,4,4,7,3,No,Yes,4,,,,,,,,,,,3.6,5.5,4.333333333333333,,"Pre-Sales Engineer slack,email,notion,MS teams,jira",0,4,0,0,3
Rashmi Dwivedi,47,Female,DevOps Engineer,Operations,01-Oct,Office- First,15,4,Live Alone,Shared Space(Kitchen/Living Room),40,3,3,9,4,1,9,91,1-4 hours,"google meet,zoom,MS teams,email",4,4,4,4,4,2,2,3,2,6,1,No,No,4,,,,,,,,,,,3.6,3.0,2.3333333333333335,,"DevOps Engineer google meet,zoom,MS teams,email",0,2,0,3,0
Presh Balmiki,40,Male,Virtualization Engineer,Operations,Nov-50,Flexible/ Variable,66,1,With Partner,Co-Working Space,50,1,1,9,1,3,3,61,<15 minutes,"jira,zoom,google meet",1,1,4,2,1,1,5,4,2,6,5,Yes,Don't Know,3,,,,,,,,,,,2.0,1.0,3.3333333333333335,,"Virtualization Engineer jira,zoom,google meet",1,2,5,0,3
Javin Vaswani,27,Female,Backup & Recovery Specialist,Operations,1001-5000,Fully Remote,44,4,Shared Accommodation,Dedicated Room,35,2,6,6,1,3,3,93,15-60 minutes,"notion,google meet,slack,jira",2,2,3,2,1,4,4,2,1,7,4,Yes,Don't Know,4,,,,,,,,,,,2.0,4.0,3.3333333333333335,,"Backup & Recovery Specialist notion,google meet,slack,jira",0,2,1,1,1
Nitaan Duggar,29,Male,Deep Learning Engineer,Software Development,01-Oct,Fully Remote,31,3,With Children,Dedicated Room,32,4,7,8,5,3,1,63,4-24 hours,"MS teams,jira,slack,notion",3,4,2,5,3,2,2,1,3,8,1,Yes,Yes,5,,,,,,,,,,,3.4,5.5,1.6666666666666667,,"Deep Learning Engineer MS teams,jira,slack,notion",1,5,0,1,2
Kaosh Bhattacharjee,24,Male,Cloud FinOps Analyst,Operations,Nov-50,Hybrid,58,5,Shared Accommodation,Desk In Shared Room,22,1,4,7,2,3,8,132,>24 hours,"google meet,notion",1,4,2,2,1,5,2,2,5,7,5,Not Sure,Don't Know,4,,,,,,,,,,,2.8,2.5,3.0,,"Cloud FinOps Analyst google meet,notion",1,2,5,2,1
Ankita Iyer,43,Female,Automation Test Engineer,Software Development,Nov-50,Hybrid,73,4,With Children,Co-Working Space,23,4,3,10,1,2,9,140,1-4 hours,"google meet,zoom,email,notion,asana",1,4,1,5,1,3,2,1,3,7,2,No,Yes,4,,,,,,,,,,,2.8,3.5,2.0,,"Automation Test Engineer google meet,zoom,email,notion,asana",0,5,5,2,2
Dheya Dwivedi,39,Male,Network Engineer,Operations,51-200,Fully Remote,165,4,With Partner,Desk In Shared Room,30,5,2,7,5,3,10,82,15-60 minutes,"google meet,slack,MS teams,asana",5,2,3,4,4,2,4,5,1,7,2,No,Yes,1,,,,,,,,,,,3.0,3.5,3.6666666666666665,,"Network Engineer google meet,slack,MS teams,asana",1,2,4,1,3
Vitam Dhoot,38,Female,UI/UX Designer,Design,51-200,Flexible/ Variable,60,1,Live Alone,Desk In Shared Room,46,3,2,8,4,4,4,104,>24 hours,"jira,MS teams",4,5,1,3,5,5,5,3,2,9,4,Yes,No,2,,,,,,,,,,,3.0,2.5,4.333333333333333,,"UI/UX Designer jira,MS teams",0,0,4,0,0
Sajit Venkatesan,29,Male,Kubernetes Engineer,Operations,01-Oct,Flexible/ Variable,141,4,Live Alone,Co-Working Space,31,5,7,6,4,5,12,110,1-4 hours,"slack,email,google meet,asana,zoom",4,2,5,4,1,2,5,4,2,9,3,Not Sure,Yes,5,,,,,,,,,,,3.4,6.0,3.6666666666666665,,"Kubernetes Engineer slack,email,google meet,asana,zoom",1,2,0,0,0
Janaya Bhonsle,23,Male,Cloud Security Engineer,Operations,201-1000,Fully Remote,154,5,With Partner,Dedicated Room,20,3,5,9,3,2,5,138,1-4 hours,"MS teams,google meet,notion,slack,zoom",2,3,3,1,1,3,5,4,1,8,5,Yes,Don't Know,4,,,,,,,,,,,2.0,4.0,4.0,,"Cloud Security Engineer MS teams,google meet,notion,slack,zoom",1,2,2,1,3
Jaur Gosain,45,Male,Technical Product Manager,Product,1001-5000,Hybrid,160,4,With Partner,Co-Working Space,40,3,7,10,5,5,2,116,<15 minutes,"zoom,asana,notion",2,2,2,5,1,5,4,5,2,9,3,Yes,Don't Know,2,,,,,,,,,,,2.6,5.0,4.666666666666667,,"Technical Product Manager zoom,asana,notion",1,3,1,2,3
Meera Bhattacharya,44,Female,Site Reliability Engineer (SRE),Operations,51-200,Hybrid,93,5,Shared Accommodation,Desk In Shared Room,50,5,2,9,2,2,2,88,>24 hours,"zoom,jira,slack,MS teams",5,3,3,4,1,3,3,4,1,7,1,Yes,Yes,1,,,,,,,,,,,3.2,3.5,3.3333333333333335,,"Site Reliability Engineer (SRE) zoom,jira,slack,MS teams",0,2,4,2,1
Dhosh Gupta,24,Female,HR Generalist (Mid-level multi-role professional),HR,201-1000,Fully Remote,107,4,Live Alone,Dedicated Room,48,1,5,6,4,1,3,105,>24 hours,"jira,notion,slack,google meet,asana",2,3,3,3,2,4,5,2,1,7,4,No,No,5,,,,,,,,,,,2.4,3.0,3.6666666666666665,,"HR Generalist (Mid-level multi-role professional) jira,notion,slack,google meet,asana",0,1,2,1,0
Vimiaj Rizvi,34,Male,Data Engineer,Software Development,5001+,Flexible/ Variable,51,4,With Partner,Shared Space(Kitchen/Living Room),38,4,3,7,4,5,5,81,>24 hours,"jira,zoom,notion,slack,email",1,1,3,1,5,2,1,2,2,7,2,Not Sure,Don't Know,1,,,,,,,,,,,1.6,3.5,1.6666666666666667,,"Data Engineer jira,zoom,notion,slack,email",1,5,3,0,3
